Speed,wind_power
7.2,2953.5
7.1,2630.5
7.5,2226.0
7.0,1984.09999
7.2,1778.4
7.4,1494.9
7.6,1349.8
7.2,1539.7
6.5,1723.59999
6.6,1806.0
5.9,1878.0
5.3,1980.09999
4.8,2156.0
4.6,2212.5
4.7,2211.09999
4.5,2136.0
3.6,2200.9
3.4,2178.0
3.0,2047.2
3.0,2041.5
2.8,2213.0
2.3,2092.69999
2.6,1880.3
2.2,1460.2
2.0,1170.0
1.3,904.29999
1.2,697.2
1.6,931.5
1.6,995.1
2.1,1110.7
2.4,1312.0
2.4,1784.4
2.2,2220.9
3.3,2739.5
3.2,3106.5
2.8,3294.5
1.8,3410.09999
0.7,3458.5
1.4,3433.8
1.6,3361.69999
0.6,3399.69999
1.0,3346.19999
1.8,3314.9
2.9,3298.3
3.6,3353.09999
3.5,3406.0
3.0,3503.9
2.4,3591.69999
3.1,3551.4
3.1,3490.59999
2.1,3490.59999
2.9,3541.4
3.3,3646.59999
4.0,3754.8
4.4,3861.8
4.8,3876.4
4.3,3676.4
3.2,3309.19999
1.1,2891.69999
2.9,2479.8
3.3,1978.5
3.1,1567.9
3.4,1335.5
3.3,1254.7
3.2,1336.59999
3.4,1248.2
3.4,1192.09999
3.0,1251.7
2.5,1496.9
2.2,1747.8
2.3,1833.59999
2.7,1990.2
1.6,2210.9
1.2,2385.3
1.5,2338.0
2.7,2541.19999
3.6,2801.09999
3.6,3123.3
3.6,3531.5
3.9,3891.59999
3.2,4160.1
3.7,4361.1
4.1,4422.89999
3.4,4544.5
2.3,4598.3
2.9,4634.8
1.8,4676.0
1.8,4631.1
3.2,4629.8
2.3,4613.6
1.6,4609.8
1.5,4627.0
2.2,4599.0
2.1,4549.6
2.4,4508.8
2.1,4449.6
1.5,4421.3
0.9,4479.6
1.8,4483.69999
2.9,4464.0
3.5,4452.0
4.1,4434.3
5.0,4365.39999
5.7,4320.19999
5.6,4338.5
5.8,4331.39999
4.9,4348.39999
4.5,4388.89999
4.7,4355.89999
3.5,4244.8
3.4,4051.9
3.6,3787.69999
3.1,3318.3
3.0,2880.69999
3.6,2695.69999
4.2,2671.09999
4.2,2583.3
4.3,2142.59999
3.5,1954.4
4.0,2237.69999
2.4,2751.59999
1.7,3339.09999
1.8,3660.5
2.5,3422.0
3.1,3879.8
4.3,4093.4
4.7,4231.3
5.5,4168.39999
5.6,4023.9
5.1,3932.5
6.1,3837.69999
6.3,3681.9
6.2,3490.9
7.6,3266.9
7.1,3024.19999
7.1,2666.69999
7.4,2305.8
8.0,1976.9
8.0,1631.09999
7.3,1420.4
6.1,1563.0
5.8,1696.5
4.4,1850.9
4.2,2010.7
4.4,2173.4
4.8,2120.09999
5.8,2113.0
6.0,2121.0
6.5,2142.69999
6.9,2136.59999
7.6,2140.19999
7.9,2477.09999
6.5,2781.0
5.6,2799.4
4.6,2807.9
3.8,2931.69999
2.1,2970.3
1.6,2862.0
0.7,2546.4
0.7,2217.8
1.2,2131.8
1.3,2077.09999
1.3,2101.0
2.3,2371.8
2.3,2817.19999
1.6,3061.4
2.8,3208.09999
3.7,3489.09999
3.4,3771.9
2.7,3899.19999
3.2,4180.89999
4.2,4302.3
4.8,4343.69999
5.7,4361.0
7.1,4353.19999
8.0,4420.6
8.3,4556.1
7.7,4610.5
6.3,4631.1
6.0,4595.3
6.7,4573.5
5.6,4602.1
4.3,4608.69999
3.4,4580.89999
3.6,4602.1
3.4,4601.69999
2.9,4608.5
3.2,4609.19999
3.6,4596.6
2.7,4579.3
1.2,4576.3
1.2,4575.19999
1.4,4564.19999
1.3,4554.1
1.5,4559.0
1.7,4547.5
2.5,4496.69999
2.1,4489.69999
1.1,4454.89999
1.9,4457.8
2.9,4456.0
3.2,4444.19999
3.1,4392.6
2.9,4325.5
1.3,4221.69999
0.9,4092.3
1.3,3845.19999
1.5,3463.8
0.8,2699.8
0.6,2263.3
1.9,1738.8
2.1,1306.4
2.0,905.89999
0.9,660.1
0.9,760.39999
0.7,1253.0
1.0,1425.09999
0.6,1566.8
0.8,1964.2
1.5,1308.4
2.7,1360.09999
3.1,1115.8
4.0,1071.7
4.7,1196.09999
5.3,1224.7
4.6,1170.9
4.2,1114.3
3.5,1183.5
3.4,1292.09999
3.8,1282.4
4.6,1148.5
4.8,1044.4
4.6,921.29999
5.0,877.1
4.4,773.1
